,Unnamed: 0,annot1_idx,annot2_idx,Gof,label1,label2,label1_orig,label1_orig_renamed
67,67,68,3,100.0,L_8Av_ROI_L,parc_2,L_8Av_ROI,8Av_L
68,68,69,3,100.0,L_8Ad_ROI_L,parc_2,L_8Ad_ROI,8Ad_L
69,69,70,3,98.1578947368421,L_9m_ROI_L,parc_2,L_9m_ROI,9m_L
70,70,71,3,100.0,L_8BL_ROI_L,parc_2,L_8BL_ROI,8BL_L
71,71,72,3,100.0,L_9p_ROI_L,parc_2,L_9p_ROI,9p_L
72,72,73,3,91.4648212226067,L_10d_ROI_L,parc_2,L_10d_ROI,10d_L
73,73,74,3,100.0,L_8C_ROI_L,parc_2,L_8C_ROI,8C_L
74,74,75,3,100.0,L_44_ROI_L,parc_2,L_44_ROI,44_L
75,75,76,3,76.255230125523,L_45_ROI_L,parc_2,L_45_ROI,45_L
76,76,77,5,100.0,L_47l_ROI_L,parc_4,L_47l_ROI,47l_L
77,77,78,5,60.0,L_a47r_ROI_L,parc_4,L_a47r_ROI,a47r_L
78,78,79,3,100.0,L_6r_ROI_L,parc_2,L_6r_ROI,6r_L
79,79,80,3,100.0,L_IFJa_ROI_L,parc_2,L_IFJa_ROI,IFJa_L
80,80,81,3,100.0,L_IFJp_ROI_L,parc_2,L_IFJp_ROI,IFJp_L
81,81,82,3,100.0,L_IFSp_ROI_L,parc_2,L_IFSp_ROI,IFSp_L
82,82,83,3,100.0,L_IFSa_ROI_L,parc_2,L_IFSa_ROI,IFSa_L
83,83,84,3,100.0,L_p9-46v_ROI_L,parc_2,L_p9-46v_ROI,p9-46v_L
84,84,85,3,100.0,L_46_ROI_L,parc_2,L_46_ROI,46_L
85,85,86,3,100.0,L_a9-46v_ROI_L,parc_2,L_a9-46v_ROI,a9-46v_L
86,86,87,3,100.0,L_9-46d_ROI_L,parc_2,L_9-46d_ROI,9-46d_L
87,87,88,3,100.0,L_9a_ROI_L,parc_2,L_9a_ROI,9a_L
88,88,89,5,99.7118155619597,L_10v_ROI_L,parc_4,L_10v_ROI,10v_L
89,89,90,3,63.6554621848739,L_a10p_ROI_L,parc_2,L_a10p_ROI,a10p_L
90,90,91,5,100.0,L_10pp_ROI_L,parc_4,L_10pp_ROI,10pp_L
