annot1_idx,annot2_idx,Gof,label1,label2,label1_orig
223,11,100.0,parsopercularis_part3_R,parc_2,parsopercularis_part3
224,13,75.6871035940803,parsorbitalis_part1_R,parc_4,parsorbitalis_part1
225,11,61.5384615384615,parstriangularis_part1_R,parc_2,parstriangularis_part1
226,11,61.0993657505285,parstriangularis_part2_R,parc_2,parstriangularis_part2
227,11,84.4295302013423,parstriangularis_part3_R,parc_2,parstriangularis_part3
228,14,99.4082840236686,pericalcarine_part1_R,parc_5,pericalcarine_part1
229,13,53.6713286713287,pericalcarine_part2_R,parc_4,pericalcarine_part2
230,14,95.1304347826087,pericalcarine_part3_R,parc_5,pericalcarine_part3
231,14,75.354609929078,postcentral_part1_R,parc_5,postcentral_part1
232,11,60.5568445475638,postcentral_part2_R,parc_2,postcentral_part2
233,12,44.9664429530201,postcentral_part3_R,parc_3,postcentral_part3
234,14,91.8918918918919,postcentral_part4_R,parc_5,postcentral_part4
235,12,58.9398023360287,postcentral_part5_R,parc_3,postcentral_part5
236,14,59.0283400809717,postcentral_part6_R,parc_5,postcentral_part6
237,11,54.7109207708779,postcentral_part7_R,parc_2,postcentral_part7
238,11,37.6334519572954,postcentral_part8_R,parc_2,postcentral_part8
239,15,87.7906976744186,posteriorcingulate_part1_R,parc_6,posteriorcingulate_part1
240,15,61.1570247933884,posteriorcingulate_part2_R,parc_6,posteriorcingulate_part2
241,11,100.0,precentral_part1_R,parc_2,precentral_part1
242,10,87.6934414148858,precentral_part2_R,parc_1,precentral_part2
243,11,98.8899167437558,precentral_part3_R,parc_2,precentral_part3
244,10,75.5281690140845,precentral_part4_R,parc_1,precentral_part4
245,10,64.2608695652174,precentral_part5_R,parc_1,precentral_part5
246,10,64.8351648351648,precentral_part6_R,parc_1,precentral_part6
247,10,70.2970297029703,precentral_part7_R,parc_1,precentral_part7
248,10,66.7921686746988,precentral_part8_R,parc_1,precentral_part8
249,10,67.8036605657238,precentral_part9_R,parc_1,precentral_part9
250,15,40.0749063670412,precuneus_part1_R,parc_6,precuneus_part1
251,11,69.5255474452555,precuneus_part2_R,parc_2,precuneus_part2
252,11,92.9862617498192,precuneus_part3_R,parc_2,precuneus_part3
253,11,64.2857142857143,precuneus_part4_R,parc_2,precuneus_part4
254,11,100.0,precuneus_part5_R,parc_2,precuneus_part5
255,11,100.0,precuneus_part6_R,parc_2,precuneus_part6
256,11,66.3149962321025,precuneus_part7_R,parc_2,precuneus_part7
257,15,51.5384615384615,rostralanteriorcingulate_part1_R,parc_6,rostralanteriorcingulate_part1
258,13,55.1515151515151,rostralmiddlefrontal_part1_R,parc_4,rostralmiddlefrontal_part1
259,11,83.8258164852255,rostralmiddlefrontal_part2_R,parc_2,rostralmiddlefrontal_part2
260,11,100.0,rostralmiddlefrontal_part3_R,parc_2,rostralmiddlefrontal_part3
261,11,94.2857142857143,rostralmiddlefrontal_part4_R,parc_2,rostralmiddlefrontal_part4
262,11,100.0,rostralmiddlefrontal_part5_R,parc_2,rostralmiddlefrontal_part5
263,11,65.8208955223881,rostralmiddlefrontal_part6_R,parc_2,rostralmiddlefrontal_part6
264,11,100.0,rostralmiddlefrontal_part7_R,parc_2,rostralmiddlefrontal_part7
265,11,94.9086161879896,rostralmiddlefrontal_part8_R,parc_2,rostralmiddlefrontal_part8
266,11,100.0,rostralmiddlefrontal_part9_R,parc_2,rostralmiddlefrontal_part9
267,11,94.954128440367,rostralmiddlefrontal_part10_R,parc_2,rostralmiddlefrontal_part10
268,11,78.3487784330244,superiorfrontal_part1_R,parc_2,superiorfrontal_part1
269,11,97.2131147540984,superiorfrontal_part2_R,parc_2,superiorfrontal_part2
270,11,100.0,superiorfrontal_part3_R,parc_2,superiorfrontal_part3
271,11,93.0036188178528,superiorfrontal_part4_R,parc_2,superiorfrontal_part4
272,11,100.0,superiorfrontal_part5_R,parc_2,superiorfrontal_part5
273,11,100.0,superiorfrontal_part6_R,parc_2,superiorfrontal_part6
274,11,98.9021956087824,superiorfrontal_part7_R,parc_2,superiorfrontal_part7
275,11,100.0,superiorfrontal_part8_R,parc_2,superiorfrontal_part8
276,11,100.0,superiorfrontal_part9_R,parc_2,superiorfrontal_part9
277,11,82.7272727272727,superiorfrontal_part10_R,parc_2,superiorfrontal_part10
278,11,100.0,superiorfrontal_part11_R,parc_2,superiorfrontal_part11
279,11,100.0,superiorfrontal_part12_R,parc_2,superiorfrontal_part12
280,11,85.8490566037736,superiorfrontal_part13_R,parc_2,superiorfrontal_part13
281,13,89.1385767790262,superiorparietal_part1_R,parc_4,superiorparietal_part1
282,12,47.6011288805268,superiorparietal_part2_R,parc_3,superiorparietal_part2
283,13,61.6874135546335,superiorparietal_part3_R,parc_4,superiorparietal_part3
284,11,83.3125778331258,superiorparietal_part4_R,parc_2,superiorparietal_part4
285,12,87.7118644067797,superiorparietal_part5_R,parc_3,superiorparietal_part5
286,12,74.0833333333333,superiorparietal_part6_R,parc_3,superiorparietal_part6
287,11,69.3897637795276,superiorparietal_part7_R,parc_2,superiorparietal_part7
288,12,100.0,superiorparietal_part8_R,parc_3,superiorparietal_part8
289,11,74.6736292428198,superiorparietal_part9_R,parc_2,superiorparietal_part9
290,12,99.4814174589456,superiorparietal_part10_R,parc_3,superiorparietal_part10
291,15,64.3874643874644,superiortemporal_part1_R,parc_6,superiortemporal_part1
292,11,82.952691680261,superiortemporal_part2_R,parc_2,superiortemporal_part2
293,12,71.0029791459781,superiortemporal_part3_R,parc_3,superiortemporal_part3
294,12,64.8648648648649,superiortemporal_part4_R,parc_3,superiortemporal_part4
295,12,55.2020636285469,superiortemporal_part5_R,parc_3,superiortemporal_part5
296,11,37.741456166419,superiortemporal_part6_R,parc_2,superiortemporal_part6
297,12,100.0,supramarginal_part1_R,parc_3,supramarginal_part1
298,12,100.0,supramarginal_part2_R,parc_3,supramarginal_part2
299,12,100.0,supramarginal_part3_R,parc_3,supramarginal_part3
300,12,91.7808219178082,supramarginal_part4_R,parc_3,supramarginal_part4
301,12,99.7148288973384,supramarginal_part5_R,parc_3,supramarginal_part5
302,12,100.0,supramarginal_part6_R,parc_3,supramarginal_part6
303,12,100.0,supramarginal_part7_R,parc_3,supramarginal_part7
304,13,97.8436657681941,frontalpole_part1_R,parc_4,frontalpole_part1
305,15,95.6674473067916,temporalpole_part1_R,parc_6,temporalpole_part1
306,14,72.2151088348271,transversetemporal_part1_R,parc_5,transversetemporal_part1
307,16,83.617747440273,insula_part1_R,parc_7,insula_part1
308,16,81.245858184228,insula_part2_R,parc_7,insula_part2
309,16,94.6442845723421,insula_part3_R,parc_7,insula_part3
310,16,100.0,insula_part4_R,parc_7,insula_part4
